no,idItem,title,creador,idCreador,editor,idEditor,lugar,idLugar,fecha,idioma,material,tipoContenido,tipoObjeto,relacionadoCon,objectid,parentid,format,página_física,filename
,ZAC-058/060-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-058-060-carta-p3,zac-058-060-carta,image/jpeg,060,zac-060.jpg
54,ZAC-061-carta,Carta a Zoila Aurora Cáceres,[ininteligible],,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[ininteligible],spa,papel,texto,carta,,zac-061-carta,,image/jpeg,061,zac-061.jpg
55,ZAC-062/063-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,1902-11-09,fra,papel,texto,carta,,zac-062-063-carta,,image/jpeg,062/063,zac-062-063.jpg
56,ZAC-064/066-carta,Carta de Mariano Benlliure a Zoila Aurora Cáceres,"Benlliure, Mariano, 1862-1947",https://www.wikidata.org/wiki/Q2402329,[no aplica],[no aplica],"Madrid, España",https://www.wikidata.org/wiki/Q2807,1902-07-18,spa,papel,texto,carta,,zac-064-066-carta,,multiple,064/066,
,ZAC-064/066-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-064-066-carta-p1,zac-064-066-carta,image/jpeg,064,zac-064.jpg
,ZAC-064/066-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-064-066-carta-p2,zac-064-066-carta,image/jpeg,065,zac-065.jpg
,ZAC-064/066-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-064-066-carta-p3,zac-064-066-carta,image/jpeg,066,zac-066.jpg
57,ZAC-067/068-carta,Carta de Charlette Adrianne Bédu a Zoila Aurora Cáceres,"Bédu, Charlette Adrianne",[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],fra,papel,texto,carta,,zac-067-068-carta,,image/jpeg,067/068,zac-067-068.jpg
58,ZAC-069/071-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],eng,papel,texto,carta,,zac-069-071-carta,,multiple,069/071,
,ZAC-069/071-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-069-071-carta-p1,zac-069-071-carta,image/jpeg,069,zac-069.jpg
,ZAC-069/071-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-069-071-carta-p2,zac-069-071-carta,image/jpeg,070,zac-070.jpg
,ZAC-069/071-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-069-071-carta-p3,zac-069-071-carta,image/jpeg,071,zac-071.jpg
59,ZAC-072/073-postal,Tarjeta postal de Alfredo Palacios con dedicatoria a Zoila Aurora Cáceres,"Palacios, Alfredo Lorenzo, 1878-1965",https://www.wikidata.org/wiki/Q2880118,[no aplica],[no aplica],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1906-02-08,spa,cartón,texto,tarjeta postal,,zac-072-073-postal,,image/jpeg,072/073,zac-072-073.jpg
60,ZAC-074/075-carta,Carta de Alfredo Palacios a Zoila Aurora Cáceres,"Palacios, Alfredo Lorenzo, 1878-1965",https://www.wikidata.org/wiki/Q2880118,[no aplica],[no aplica],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,1902-08-19,spa,papel,texto,carta,,zac-074-075-carta,,image/jpeg,074/075,zac-074-075.jpg
61,ZAC-076/078-carta,Carta a Zoila Aurora Cáceres,[ininteligible],,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1902-09-18,fra,papel,texto,carta,,zac-076-078-carta,,multiple,076/078,
,ZAC-076/078-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-076-078-carta-p1,zac-076-078-carta,image/jpeg,076,zac-076.jpg
,ZAC-076/078-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-076-078-carta-p2,zac-076-078-carta,image/jpeg,077,zac-077.jpg
,ZAC-076/078-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-076-078-carta-p3,zac-076-078-carta,image/jpeg,078,zac-078.jpg
62,ZAC-079-carta,Carta de Ersilia Caetani Lovatelli a Zoila Aurora Cáceres,"Caetani-Lovatelli, Ersilia, 1840-1925",https://www.wikidata.org/wiki/Q1361810,[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],fra,papel,texto,carta,,zac-079-carta,,image/jpeg,079,zac-079.jpg
63,ZAC-080-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],fra,papel,texto,carta,,zac-080-carta,,image/jpeg,080,zac-080.jpg
,ZAC-081-pagina,[TODO] Página 081 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-081-pagina,,compound_object,081,zac-081.jpg
64,ZAC-081-recorte,Americanismo,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906,spa,papel,texto,recorte,,zac-081-recorte,zac-081-pagina,record,081,
65,ZAC-081-carnet,Carné de Zoila Aurora Cáceres,École des Hautes Études Sociales. École Sociale,https://www.wikidata.org/wiki/Q3045917,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1901/1902,fra,cartón,texto,carné de identidad,ZAC-103-carnet,zac-081-carnet,zac-081-pagina,record,081,
66,ZAC-082/083-carta,Carta de Rachel y Gustav Kahn a Zoila Aurora Cáceres,"Kahn, Rachel, 1860-1933",https://www.wikidata.org/wiki/Q110225331,[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,carta,,zac-082-083-carta,,image/jpeg,082/083,zac-082-083.jpg
67,ZAC-084-carta,Carta de M. Salvador Ulloa a Zoila Aurora Cáceres,"Ulloa, Manuel Salvador",http://viaf.org/viaf/25163510321010932092,[no aplica],[no aplica],"Tacna, Perú",https://www.wikidata.org/wiki/Q272795,1900-11-07,spa,papel,texto,carta,,zac-084-carta,,image/jpeg,084,zac-084.jpg
68,ZAC-085-foto,Fotografía en cementerio,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-085-foto,,image/jpeg,085,zac-085.jpg
,ZAC-086-pagina,[TODO] Página 086 del álbum (contiene 4 documentos),,,,,,,,,,,,,zac-086-pagina,,compound_object,086,zac-086.jpg
69,ZAC-086-recorte1,De Marsella a Tokio por Gómez Carrillo,Evans,[no disponible],El Tiempo,[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-086-recorte1,zac-086-pagina,record,086,
70,ZAC-086-recorte2,L'arrivo dei pubblicisti francesi,[no disponible],[no disponible],"Il Secolo (Milán, 1866-1927)",https://www.wikidata.org/wiki/Q3792935,"Milán, Italia",https://www.wikidata.org/wiki/Q490,[no disponible],ita,papel,texto,recorte,,zac-086-recorte2,zac-086-pagina,record,086,
71,ZAC-086-recorte3,Hommage à M. Ferrero,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,papel,texto,recorte,ZAC-086-recorte4,zac-086-recorte3,zac-086-pagina,record,086,
72,ZAC-086-recorte4,Noticia sobre homenaje a Guglielmo Ferrero,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],fra,papel,texto,recorte,ZAC-086-recorte3,zac-086-recorte4,zac-086-pagina,record,086,
,ZAC-087-pagina,[TODO] Página 087 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-087-pagina,,compound_object,087,zac-087.jpg
