no,idItem,title,creador,idCreador,editor,idEditor,lugar,idLugar,fecha,idioma,material,tipoContenido,tipoObjeto,relacionadoCon,objectid,parentid,format,página_física,filename
231,ZAC-251-recorte2,Nota sobre la boda de Zoila Aurora Cáceres con Enrique Gómez Carrillo,[no disponible],[no disponible],[ininteligible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906-06-07,fra,papel,texto,recorte,ZAC-251-comprobante,zac-251-recorte2,zac-251-pagina,record,251,
232,ZAC-251-recorte3,Matrimonio,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],1906,spa,papel,texto,recorte,,zac-251-recorte3,zac-251-pagina,record,251,
233,ZAC-251-recorte4,Matrimonio,[no disponible],[no disponible],"La República (Guatemala, 1890-?)",https://archivo.rae.es/index.php/la-republica-diario-guatemala-1890,"Antigua, Guatemala",https://www.wikidata.org/wiki/Q212773,1906-07-02,spa,papel,texto,recorte,,zac-251-recorte4,zac-251-pagina,record,251,
234,ZAC-252/253-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],"Ateneo Científico, Literario y Artístico (1820-)",https://www.wikidata.org/wiki/Q2869328,"Madrid, España",https://www.wikidata.org/wiki/Q2807,[no disponible],spa,papel,texto,carta,,zac-252-253-carta,,image/jpeg,252/253,zac-252-253.jpg
,ZAC-254-pagina,[TODO] Página 254 del álbum (contiene 10 documentos),,,,,,,,,,,,,zac-254-pagina,,compound_object,254,zac-254.jpg
235,ZAC-254-recorte1,La boda de Gómez Carillo,[no disponible],[no disponible],"La República (Guatemala, 1890-?)",https://archivo.rae.es/index.php/la-republica-diario-guatemala-1890,"Antigua, Guatemala",https://www.wikidata.org/wiki/Q212773,1906-07-13,spa,papel,texto,recorte,,zac-254-recorte1,zac-254-pagina,record,254,
236,ZAC-254-recorte2,Matrimonio de Gómez Carrillo. Viaje a Italia,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,texto,recorte,,zac-254-recorte2,zac-254-pagina,record,254,
237,ZAC-254-comprobante1,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-254-recorte3,zac-254-comprobante1,zac-254-pagina,record,254,
238,ZAC-254-recorte3,Mariages,[no disponible],[no disponible],Amérique Latine (París),[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906-05-29,fra,papel,texto,recorte,ZAC-254-comprobante1,zac-254-recorte3,zac-254-pagina,record,254,
239,ZAC-254-comprobante2,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-254-recorte4,zac-254-comprobante2,zac-254-pagina,record,254,
240,ZAC-254-recorte4,Communiques de mariages,[no disponible],[no disponible],"Le Matin (París, 1884-1944)",https://www.wikidata.org/wiki/Q3224404,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-05-29,fra,papel,texto,recorte,ZAC-254-comprobante2,zac-254-recorte4,zac-254-pagina,record,254,
241,ZAC-254-comprobante3,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-254-recorte5,zac-254-comprobante3,zac-254-pagina,record,254,
242,ZAC-254-recorte5,Anuncio de la boda de Zoila Aurora Cáceres con Enrique Gómez Carrillo,[no disponible],[no disponible],"Le Figaro (París, 1826-)",https://www.wikidata.org/wiki/Q216047,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-05-28,fra,papel,texto,recorte,ZAC-254-comprobante3,zac-254-recorte5,zac-254-pagina,record,254,
243,ZAC-254-comprobante4,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-254-recorte6,zac-254-comprobante4,zac-254-pagina,record,254,
244,ZAC-254-recorte6,Anuncio de la boda de Zoila Aurora Cáceres con Enrique Gómez Carrillo,[no disponible],[no disponible],"L'Écho de Paris (París, 1884-1938)",https://www.wikidata.org/wiki/Q3205139,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-05-28,fra,papel,texto,recorte,ZAC-254-comprobante4,zac-254-recorte6,zac-254-pagina,record,254,
245,ZAC-256/258-carta,Carta de Gabriele Reuter a Zoila Aurora Cáceres,"Reuter, Gabriele, 1859-1941",https://www.wikidata.org/wiki/Q99301,[no aplica],[no aplica],"Berlín, Alemania",https://www.wikidata.org/wiki/Q64,,fra,papel,texto,carta,,zac-256-258-carta,,multiple,256/258,
,ZAC-256/258-carta-p1,Página 1 de 3,,,,,,,,,,,,,zac-256-258-carta-p1,zac-256-258-carta,image/jpeg,256,zac-256.jpg
,ZAC-256/258-carta-p2,Página 2 de 3,,,,,,,,,,,,,zac-256-258-carta-p2,zac-256-258-carta,image/jpeg,257,zac-257.jpg
,ZAC-256/258-carta-p3,Página 3 de 3,,,,,,,,,,,,,zac-256-258-carta-p3,zac-256-258-carta,image/jpeg,258,zac-258.jpg
,ZAC-259-pagina,[TODO] Página 259 del álbum (contiene 8 documentos),,,,,,,,,,,,,zac-259-pagina,,compound_object,259,zac-259.jpg
246,ZAC-259-comprobante1,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-259-recorte1,zac-259-comprobante1,zac-259-pagina,record,259,
247,ZAC-259-recorte1,Nota sobre la boda de Zoila Aurora Cáceres con Enrique Gómez Carrillo,[no disponible],[no disponible],"L'Intransigeant (París, 1880-1948)",https://www.wikidata.org/wiki/Q3204265,"París, Francia",https://www.wikidata.org/wiki/Q90,1906-06-08,fra,papel,texto,recorte,ZAC-259-comprobante1,zac-259-recorte1,zac-259-pagina,record,259,
248,ZAC-259-comprobante2,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-259-recorte2,zac-259-comprobante2,zac-259-pagina,record,259,
249,ZAC-259-recorte2,Gomez-Carrillo,Antéro,[no disponible],Revue Américaine (París),[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906-07-15,fra,papel,texto,recorte,ZAC-259-comprobante2,zac-259-recorte2,zac-259-pagina,record,259,
250,ZAC-259-comprobante3,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-259-recorte3,zac-259-comprobante3,zac-259-pagina,record,259,
251,ZAC-259-recorte3,Publicaciones. Tarde de octubre,[no disponible],[no disponible],Diario de la Marina (Madrid),[no disponible],"Madrid, España",https://www.wikidata.org/wiki/Q2807,1906-10-12,spa,papel,texto,recorte,ZAC-259-comprobante3,zac-259-recorte3,zac-259-pagina,record,259,
252,ZAC-259-comprobante4,Comprobante de Argus de la Presse,Argus de la Presse,https://www.wikidata.org/wiki/Q16650919,[no disponible],[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,[no disponible],fra,papel,texto,comprobante,ZAC-259-recorte4,zac-259-comprobante4,zac-259-pagina,record,259,
253,ZAC-259-recorte4,Nota sobre la boda de Zoila Aurora Cáceres con Enrique Gómez Carrillo,[no disponible],[no disponible],Écho (París),[no disponible],"París, Francia",https://www.wikidata.org/wiki/Q90,1906-06-05,fra,papel,texto,recorte,ZAC-259-comprobante4,zac-259-recorte4,zac-259-pagina,record,259,
254,ZAC-260-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],[no disponible],[no disponible],1907-09-25,fra,papel,texto,carta,,zac-260-carta,,image/jpeg,260,zac-260.jpg
255,ZAC-261-recorte,Notas sociales. Matrimonio entre intelectuales,[no disponible],[no disponible],"El Comercio (Lima, 1839-)",https://www.wikidata.org/wiki/Q1324020,"Lima, Perú",https://www.wikidata.org/wiki/Q2868,[no disponible],spa,papel,texto,recorte,,zac-261-recorte,,image/jpeg,261,zac-261.jpg
256,ZAC-262-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1907-01-08,spa,papel,texto,carta,,zac-262-carta,,image/jpeg,262,zac-262.jpg
257,ZAC-263/264-carta,Carta de Michelangelo Draghetti a Zoila Aurora Cáceres,"Draghetti da Ferrara, Michelangelo",[no disponible],[no aplica],[no aplica],"Faenza, Italia",https://www.wikidata.org/wiki/Q52981,1907-08-30,ita,papel,texto,carta,,zac-263-264-carta,,image/jpeg,263/264,zac-263-264.jpg
258,ZAC-265-nota,"Nota sobre direcciones en Nancy, Francia","Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],fra,papel,texto,nota,,zac-265-nota,,image/jpeg,265,zac-265.jpg
259,ZAC-266/271-carta,Carta de Marie Robinson Wright a Zoila Aurora Cáceres,"Wright, Marie Robinson, 1866-1914",https://www.wikidata.org/wiki/Q56604012,[no aplica],[no aplica],"Río de Janeiro, Brasil",https://www.wikidata.org/wiki/Q8678,1907-06-01,eng,papel,texto,carta,,zac-266-271-carta,,multiple,266/271,
,ZAC-266/271-carta-p1,Página 1 de 6,,,,,,,,,,,,,zac-266-271-carta-p1,zac-266-271-carta,image/jpeg,266,zac-266.jpg
,ZAC-266/271-carta-p2,Página 2 de 6,,,,,,,,,,,,,zac-266-271-carta-p2,zac-266-271-carta,image/jpeg,267,zac-267.jpg
,ZAC-266/271-carta-p3,Página 3 de 6,,,,,,,,,,,,,zac-266-271-carta-p3,zac-266-271-carta,image/jpeg,268,zac-268.jpg
,ZAC-266/271-carta-p4,Página 4 de 6,,,,,,,,,,,,,zac-266-271-carta-p4,zac-266-271-carta,image/jpeg,269,zac-269.jpg
,ZAC-266/271-carta-p5,Página 5 de 6,,,,,,,,,,,,,zac-266-271-carta-p5,zac-266-271-carta,image/jpeg,270,zac-270.jpg
,ZAC-266/271-carta-p6,Página 6 de 6,,,,,,,,,,,,,zac-266-271-carta-p6,zac-266-271-carta,image/jpeg,271,zac-271.jpg
260,ZAC-272/283-borrador,Programa del Centro Social,"Cáceres, Zoila Aurora, 1872-1958",https://www.wikidata.org/wiki/Q4822525,[no aplica],[no aplica],[no disponible],[no disponible],[no disponible],spa,papel,texto,borrador (documento),,zac-272-283-borrador,,multiple,272/283,
,ZAC-272/283-borrador-p1,Página 1 de 12,,,,,,,,,,,,,zac-272-283-borrador-p1,zac-272-283-borrador,image/jpeg,272,zac-272.jpg
,ZAC-272/283-borrador-p2,Página 2 de 12,,,,,,,,,,,,,zac-272-283-borrador-p2,zac-272-283-borrador,image/jpeg,273,zac-273.jpg
,ZAC-272/283-borrador-p3,Página 3 de 12,,,,,,,,,,,,,zac-272-283-borrador-p3,zac-272-283-borrador,image/jpeg,274,zac-274.jpg
,ZAC-272/283-borrador-p4,Página 4 de 12,,,,,,,,,,,,,zac-272-283-borrador-p4,zac-272-283-borrador,image/jpeg,275,zac-275.jpg
,ZAC-272/283-borrador-p5,Página 5 de 12,,,,,,,,,,,,,zac-272-283-borrador-p5,zac-272-283-borrador,image/jpeg,276,zac-276.jpg
,ZAC-272/283-borrador-p6,Página 6 de 12,,,,,,,,,,,,,zac-272-283-borrador-p6,zac-272-283-borrador,image/jpeg,277,zac-277.jpg
,ZAC-272/283-borrador-p7,Página 7 de 12,,,,,,,,,,,,,zac-272-283-borrador-p7,zac-272-283-borrador,image/jpeg,278,zac-278.jpg
,ZAC-272/283-borrador-p8,Página 8 de 12,,,,,,,,,,,,,zac-272-283-borrador-p8,zac-272-283-borrador,image/jpeg,279,zac-279.jpg
,ZAC-272/283-borrador-p9,Página 9 de 12,,,,,,,,,,,,,zac-272-283-borrador-p9,zac-272-283-borrador,image/jpeg,280,zac-280.jpg
,ZAC-272/283-borrador-p10,Página 10 de 12,,,,,,,,,,,,,zac-272-283-borrador-p10,zac-272-283-borrador,image/jpeg,281,zac-281.jpg
,ZAC-272/283-borrador-p11,Página 11 de 12,,,,,,,,,,,,,zac-272-283-borrador-p11,zac-272-283-borrador,image/jpeg,282,zac-282.jpg
,ZAC-272/283-borrador-p12,Página 12 de 12,,,,,,,,,,,,,zac-272-283-borrador-p12,zac-272-283-borrador,image/jpeg,283,zac-283.jpg
,ZAC-284,Página en blanco,,,,,,,,,,,,,zac-284,,image/jpeg,284,zac-284.jpg
261,ZAC-285-carta,Carta de Julio Hernández a Zoila Aurora Cáceres,"Hernández, Julio S.",[no disponible],[no aplica],[no aplica],"Lima, Perú",https://www.wikidata.org/wiki/Q2868,1905-12,spa,papel,texto,carta,,zac-285-carta,,image/jpeg,285,zac-285.jpg
,ZAC-286-pagina,[TODO] Página 286 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-286-pagina,,compound_object,286,zac-286.jpg
262,ZAC-286-tarjeta1,Tarjeta de invitación a Zoila Aurora Cáceres,Association Lombarde des Journalistes,[no disponible],[ininteligible],[no disponible],"Milán, Italia",https://www.wikidata.org/wiki/Q490,1906-09-21,fra,cartón,texto,tarjeta,,zac-286-tarjeta1,zac-286-pagina,record,286,
263,ZAC-286-tarjeta2,Tarjeta de invitación a Zoila Aurora Cáceres,Association Lombarde des Journalistes,[no disponible],[ininteligible],[no disponible],"Milán, Italia",https://www.wikidata.org/wiki/Q490,1906-09-21,fra,cartón,texto,tarjeta,,zac-286-tarjeta2,zac-286-pagina,record,286,
,ZAC-287-pagina,[TODO] Página 287 del álbum (contiene 3 documentos),,,,,,,,,,,,,zac-287-pagina,,compound_object,287,zac-287.jpg
264,ZAC-287-postal,Tarjeta postal con fotografía de mujer y niña en mural con dibujo de avioneta [cartolina postale],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],ita,cartón,texto,tarjeta postal,,zac-287-postal,zac-287-pagina,record,287,
265,ZAC-287-foto,Fotografía de mujeres y hombres al lado de automóvil,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel fotográfico,imagen,fotografía,,zac-287-foto,zac-287-pagina,record,287,
266,ZAC-287-nota,Nota de M. Echeverría a Zoila Aurora Cáceres,"Echeverría, M.",[no disponible],[no disponible],[no disponible],"Buenos Aires, Argentina",https://www.wikidata.org/wiki/Q1486,[no disponible],spa,cartón,texto,nota,,zac-287-nota,zac-287-pagina,record,287,
267,ZAC-288/289-tarjeta,Tarjeta de invitación a banquete ,[no disponible],[no disponible],[no aplica],[no aplica],"Ginebra, Suiza",https://www.wikidata.org/wiki/Q71,1906-09-18,fra,cartón,texto,tarjeta,,zac-288-289-tarjeta,,image/jpeg,288/289,zac-288-289.jpg
,ZAC-290/291-pagina,[TODO] Página 290/291 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-290-291-pagina,,compound_object,290/291,zac-290-291.jpg
268,ZAC-290/291-tarjeta,Tarjeta de invitación a San Pellegrino,Associazione Lombarda dei Giornalisti,[no disponible],[no aplica],[no aplica],"Milán, Italia",https://www.wikidata.org/wiki/Q490,1906-09-23,fra,cartón,texto,tarjeta,,zac-290-291-tarjeta,zac-290-291-pagina,record,290/291,
269,ZAC-290/291-pase,Ingresso permanente al Toboga ed aeroplano,Società Anonima Toboga,[no disponible],[no disponible],[no disponible],"Milán, Italia",https://www.wikidata.org/wiki/Q490,1906,ita,cartón,texto,pase,,zac-290-291-pase,zac-290-291-pagina,record,290/291,
270,ZAC-292-tarjeta,Tarjeta de invitación a cena,"Mangili, Cesare, 1850-1917",https://www.wikidata.org/wiki/Q18758654,[no disponible],[no disponible],"Milán, Italia",https://www.wikidata.org/wiki/Q490,1906-09-24,fra,cartón,texto,tarjeta,,zac-292-tarjeta,,image/jpeg,292,zac-292.jpg
,ZAC-293,Página en blanco,,,,,,,,,,,,,zac-293,,image/jpeg,293,zac-293.jpg
271,ZAC-294-carta,Carta a Zoila Aurora Cáceres,[ininteligible],[no disponible],[no aplica],[no aplica],"París, Francia",https://www.wikidata.org/wiki/Q90,1907-10-29,spa,papel,texto,carta,,zac-294-carta,,image/jpeg,294,zac-294.jpg
272,ZAC-294/295-pase,Tessera temporanea stampa,Comité de la Exposición Universal de Milán,[no disponible],[no aplica],[no aplica],"Milán, Italia",https://www.wikidata.org/wiki/Q490,1906,ita,cartón,texto,pase,,zac-294-295-pase,,image/jpeg,294/295,zac-294-295.jpg
,ZAC-296-pagina,[TODO] Página 296 del álbum (contiene 2 documentos),,,,,,,,,,,,,zac-296-pagina,,compound_object,296,zac-296.jpg
273,ZAC-296-foto,Fotografía de Zoila Aurora Cáceres,[no disponible],[no disponible],América Literaria,[no disponible],[no disponible],[no disponible],[no disponible],[no aplica],papel,imagen,recorte,,zac-296-foto,zac-296-pagina,record,296,
274,ZAC-296-recorte,Zoila Aurora Cáceres,R. B. S.,[no disponible],América Literaria,[no disponible],"Callao, Perú",https://www.wikidata.org/wiki/Q105037,1903-04-24,spa,papel,texto,recorte,ZAC-296-foto,zac-296-recorte,zac-296-pagina,record,296,
275,ZAC-298/299-tarjeta,Christmas greetings,"Valencia, Tórtola, 1882-1955",https://www.wikidata.org/wiki/Q3819089,[no disponible],[no disponible],"Londres, Reino Unido",https://www.wikidata.org/wiki/Q84,[ininteligible],eng,cartón,texto,tarjeta,,zac-298-299-tarjeta,,image/jpeg,298/299,zac-298-299.jpg
,ZAC-299,Página en blanco,,,,,,,,,,,,,zac-299,,image/jpeg,299,zac-299.jpg
276,ZAC-300-afiche,Afiche de Tórtola Valencia. La bailarina de los pies desnudos,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,imagen,recorte,,zac-300-afiche,,image/jpeg,300,zac-300.jpg
277,ZAC-301-afiche,Afiche de Tórtola Valencia. Danza arcaica genuina del Perú,[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],[no disponible],spa,papel,imagen,recorte,,zac-301-afiche,,image/jpeg,301,zac-301.jpg
,ZAC-302/303,Página en blanco,,,,,,,,,,,,,zac-302-303,,image/jpeg,302/303,zac-302-303.jpg
,ZAC-304,Tapa dura de álbum,,,,,,,,,,,,,zac-304,,image/jpeg,304,zac-304.jpg
